row,sen_number,participant
70,2024SIR0006852,ERO York
70,2024SIR0006852,ERO Philadelphia
70,2024SIR0006852,Moshannon Valley Processing Center (MVPC)
71,2024SIR0006918,ERO El Paso
71,2024SIR0006918,Otero County Processing Center (OCPC)
72,2024SIR0006920,ERO El Paso
72,2024SIR0006920,Otero County Processing Center (OCPC)
73,2024SIR0006883,ERO San Antonio
73,2024SIR0006883,South Texas ICE Processing Center (STIPC)
73,2024SIR0006883,ICE Health Service Corps (IHSC)
74,2024SIR0006958,ERO Atlanta
74,2024SIR0006958,Stewart Detention Center (SDC)
75,2024SIR0007031,ERO Miami
75,2024SIR0007031,Krome Service Processing Center (KSPC)
75,2024SIR0007031,ICE Health Service Corps (IHSC)
76,2024SIR0006996,ERO San Diego
76,2024SIR0006996,Imperial Regional Detention (ICSO)
77,2024SIR0007062,ERO Miami
77,2024SIR0007062,Krome Service Processing Center (KSPC)
77,2024SIR0007062,ICE Health Service Corps (IHSC)
78,2024SIR0007137,ERO Dallas
78,2024SIR0007137,Prairieland Detention Center (PDC)
79,2024SIR0007147,ERO San Diego
79,2024SIR0007147,Otay Mesa Detention Center (OMDC)
80,2024SIR0007207,ERO Miami
80,2024SIR0007207,Krome Service Processing Center (KSPC)
80,2024SIR0007207,ICE Health Service Corps (IHSC)
81,2024SIR0007252,ERO Dallas
81,2024SIR0007252,Prairieland Detention Center (PDC)
82,2024SIR0007314,ERO Dallas
82,2024SIR0007314,Prairieland Detention Center (PDC)
83,,ERO Denver
83,,Denver Contract Detention Facility (DCDF)
83,,Aurora Police Department (APD)
83,,Lakewood Police Department (LPD)
84,2024SIR0007518,ERO El Paso
84,2024SIR0007518,Otero County Processing Center (OCPC)
85,2024SIR0007537,ERO San Antonio
85,2024SIR0007537,South Texas ICE Processing Center (STIPC)
85,2024SIR0007537,ICE Health Service Corps (IHSC)
86,2024SIR0007550,ERO Miami
86,2024SIR0007550,Krome Service Processing Center (KSPC)
86,2024SIR0007550,ICE Health Service Corps (IHSC)
87,2024SIR0007648,ERO New Orleans
87,2024SIR0007648,Central Louisiana ICE Correctional Center (CLIPC)
88,2024SIR0007788,ERO Miami
88,2024SIR0007788,ICE Health Service Corps (IHSC)
88,2024SIR0007788,Krome Service Processing Center (KSPC)
89,2024SIR0007857,ERO Atlanta
89,2024SIR0007857,Cobb County Adult Detention Center (CCADC)
89,2024SIR0007857,Stewart Detention Center (SDC)
90,2024SIR0007796,ERO Dallas
90,2024SIR0007796,Eden Detention Center (EDC)
91,2024SIR0007861,ERO Harlingen
91,2024SIR0007861,Webb County Detention (WCDC)
92,2024SIR0007831,ERO Miami
92,2024SIR0007831,Krome Service Processing Center (KSPC)
92,2024SIR0007831,ICE Health Service Corps (IHSC)
93,2024SIR0005027,ERO Miami
93,2024SIR0005027,ICE Health Service Corps (IHSC)
93,2024SIR0005027,Krome Service Processing Center (KSPC)
94,2024SIR0005068,ERO Washington
94,2024SIR0005068,Immigration Centers of America (ICA)
95,2024SIR0005111,ERO Philadelphia
95,2024SIR0005111,Moshannon Valley Processing Center (MVPC)
96,2024SIR0005208,ERO Harlingen
96,2024SIR0005208,Rio Grande Processing Center (RGPC)
97,2024SIR0005196,ERO Miami
97,2024SIR0005196,ICE Health Service Corps (IHSC)
97,2024SIR0005196,Krome Service Processing Center (KSPC)
98,2024SIR0005229,ERO Miami
98,2024SIR0005229,ICE Health Service Corps (IHSC)
98,2024SIR0005229,Krome Service Processing Center (KSPC)
